ALV-5000/E-WIN Data
Date :	"22.04.05"
Time :	"11:24:46"
Samplename : 	"124d Lu Es8p2 0.45µm 20mW 633nm 60s +A"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     293.19951
Viscosity [cp]  :	       0.94000
Refractive Index:	       1.42600
Wavelength [nm] :	     633.00000
Angle [°]       :	      55.00000
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      74.53832
MeanCR1 [kHz]   :	       0.00000

"Correlation"
       0.70313	      83.97669
       0.93750	      76.83601
       1.17188	      74.16838
       1.40625	      76.27261
       1.64063	      75.97383
       1.87500	      76.49455
       2.10938	      76.34516
       2.34375	      71.69283
       2.57813	      75.52567
       2.81250	      76.05492
       3.04688	      76.26407
       3.28125	      74.20679
       3.51563	      69.34533
       3.75000	      71.34711
       3.98438	      83.13159
       4.21875	      71.61174
       4.45313	      75.25250
       4.68750	      76.10614
       4.92188	      69.10204
       5.15625	      71.44955
       5.39063	      80.11825
       5.62500	      70.07945
       5.85938	      78.94022
       6.09375	      76.33662
       6.32813	      81.01030
       6.56250	      72.75562
       6.79688	      72.91780
       7.03125	      73.09707
       7.26563	      77.77501
       7.50000	      68.19292
       7.73438	      71.49223
       7.96875	      75.94395
       8.20313	      71.53064
       8.43750	      74.24948
       8.67188	      79.90484
       8.90625	      67.59537
       9.14063	      81.25785
       9.37500	      82.21393
       9.60938	      76.96832
       9.84375	      82.27368
      10.07813	      74.99641
      10.31250	      74.68484
      10.54688	      81.47980
      10.78125	      64.64605
      11.01563	      77.63416
      11.25000	      74.74459
      11.48438	      74.76167
      11.71875	      76.67809
      11.95313	      72.50806
      12.18750	      79.65302
      12.42188	      76.62686
      12.65625	      79.64874
      12.89063	      72.79403
      13.12500	      71.88063
      13.35938	      80.68165
      13.59375	      75.45311
      13.82813	      72.03856
      14.06250	      69.41362
      14.29688	      71.80380
